[2022-11-22 03:35:58.380] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 03:36:08.380] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 03:36:11.380] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 03:36:13.380] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 03:36:16.381] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 03:36:24.381] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 03:36:28.381] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 13:26:34.279] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 13:26:38.279] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 13:26:40.280] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 13:39:56.180] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 13:40:01.180] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 13:47:27.259] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
[2022-11-22 13:47:31.260] [data] [info] I am superior, sir, in many ways, but I would gladly give it up to be human. 🤖
